title,genres,year,clean_title,source
Extraction,action & adventure,2015,extraction,Netflix
Freedom Writers,dramas,2007,freedom writers,Netflix
Green Lantern,"action & adventure, sci-fi & fantasy",2011,green lantern,Netflix
House Party,"comedies, cult movies",1990,house party,Netflix
House Party 2,"comedies, cult movies, music & musicals",1991,house party 2,Netflix
House Party 3,"comedies, music & musicals",1994,house party 3,Netflix
How to Be a Cowboy,reality tv,2021,how to be a cowboy,Netflix
HQ Barbers,tv shows,2020,hq barbers,Netflix
I Got the Hook Up,"action & adventure, comedies",1998,i got the hook up,Netflix
In Too Deep,thrillers,1999,in too deep,Netflix
Initial D,"action & adventure, international movies",2005,initial d,Netflix
Janoskians: Untold and Untrue,comedies,2016,janoskians untold and untrue,Netflix
Kid-E-Cats,kids' tv,2016,kidecats,Netflix
Kuroko's Basketball,"anime series, international tv shows, teen tv shows",2015,kurokos basketball,Netflix
Labyrinth,"action & adventure, children & family movies, cult movies",1986,labyrinth,Netflix
Letters to Juliet,"comedies, dramas, romantic movies",2010,letters to juliet,Netflix
Level 16,"sci-fi & fantasy, thrillers",2018,level 16,Netflix
Love Don't Cost a Thing,"comedies, romantic movies",2003,love dont cost a thing,Netflix
Love in a Puff,"comedies, dramas, international movies",2010,love in a puff,Netflix
Major Dad,tv comedies,1992,major dad,Netflix
Mars Attacks!,"comedies, cult movies, sci-fi & fantasy",1996,mars attacks,Netflix
Marshall,dramas,2017,marshall,Netflix
My Boss's Daughter,"comedies, romantic movies",2003,my bosss daughter,Netflix
Mystery Men,"action & adventure, comedies",1999,mystery men,Netflix
Oldsters,"crime tv shows, international tv shows, spanish-language tv shows",2019,oldsters,Netflix
Once Upon a Time in America,"classic movies, dramas",1984,once upon a time in america,Netflix
Open Season 2,"children & family movies, comedies",2008,open season 2,Netflix
Osmosis Jones,"action & adventure, children & family movies, comedies",2001,osmosis jones,Netflix
Poseidon,"action & adventure, dramas",2006,poseidon,Netflix
Rhyme & Reason,"documentaries, music & musicals",1997,rhyme  reason,Netflix
Same Kind of Different as Me,"dramas, faith & spirituality",2017,same kind of different as me,Netflix
School of Rock,"comedies, music & musicals",2003,school of rock,Netflix
Snervous Tyler Oakley,"documentaries, lgbtq movies",2015,snervous tyler oakley,Netflix
Tears of the Sun,"action & adventure, dramas",2003,tears of the sun,Netflix
The Blue Lagoon,"dramas, romantic movies",1980,the blue lagoon,Netflix
The Golden Child,"action & adventure, comedies",1986,the golden child,Netflix
The Guns of Navarone,"action & adventure, classic movies",1961,the guns of navarone,Netflix
The Interview,"action & adventure, comedies",2014,the interview,Netflix
The Nutty Professor,"comedies, romantic movies",1996,the nutty professor,Netflix
The Nutty Professor II: The Klumps,"comedies, romantic movies",2000,the nutty professor ii the klumps,Netflix
Turning Point: 9/11 and the War on Terror,docuseries,2021,turning point 911 and the war on terror,Netflix
